barrio,año,trimestre,precio_prom,ambientes,estado,comuna
CONSTITUCION,2013,3,,2 ambientes,Usado,1
CONSTITUCION,2013,4,,2 ambientes,Usado,1
CONSTITUCION,2014,1,,2 ambientes,Usado,1
CONSTITUCION,2014,2,,2 ambientes,Usado,1
CONSTITUCION,2014,3,,2 ambientes,Usado,1
CONSTITUCION,2014,4,,2 ambientes,Usado,1
CONSTITUCION,2015,1,1521,2 ambientes,Usado,1
CONSTITUCION,2015,2,1488,2 ambientes,Usado,1
CONSTITUCION,2015,3,1551,2 ambientes,Usado,1
CONSTITUCION,2015,4,1562,2 ambientes,Usado,1
CONSTITUCION,2016,1,1673,2 ambientes,Usado,1
CONSTITUCION,2016,2,1701,2 ambientes,Usado,1
CONSTITUCION,2016,3,1713,2 ambientes,Usado,1
CONSTITUCION,2016,4,1727,2 ambientes,Usado,1
CONSTITUCION,2017,1,1731,2 ambientes,Usado,1
CONSTITUCION,2017,2,1773,2 ambientes,Usado,1
CONSTITUCION,2017,3,1802,2 ambientes,Usado,1
CONSTITUCION,2017,4,1846,2 ambientes,Usado,1
CONSTITUCION,2018,1,1891,2 ambientes,Usado,1
CONSTITUCION,2018,2,1958,2 ambientes,Usado,1
CONSTITUCION,2018,3,1930,2 ambientes,Usado,1
CONSTITUCION,2018,4,1965,2 ambientes,Usado,1
CONSTITUCION,2019,1,1916,2 ambientes,Usado,1
CONSTITUCION,2019,2,1872,2 ambientes,Usado,1
FLORES,2010,1,1443,2 ambientes,Usado,7
FLORES,2010,2,1467,2 ambientes,Usado,7
FLORES,2010,3,1449,2 ambientes,Usado,7
FLORES,2010,4,1443,2 ambientes,Usado,7
FLORES,2011,1,1380,2 ambientes,Usado,7
FLORES,2011,2,1439,2 ambientes,Usado,7
FLORES,2011,3,1566,2 ambientes,Usado,7
FLORES,2011,4,1747,2 ambientes,Usado,7
FLORES,2012,1,1750,2 ambientes,Usado,7
FLORES,2012,2,1836,2 ambientes,Usado,7
FLORES,2012,3,1953,2 ambientes,Usado,7
FLORES,2012,4,2043,2 ambientes,Usado,7
FLORES,2013,1,,2 ambientes,Usado,7
FLORES,2013,2,1811,2 ambientes,Usado,7
FLORES,2013,3,1791,2 ambientes,Usado,7
FLORES,2013,4,1972,2 ambientes,Usado,7
FLORES,2014,1,2003,2 ambientes,Usado,7
FLORES,2014,2,1786,2 ambientes,Usado,7
FLORES,2014,3,1912,2 ambientes,Usado,7
FLORES,2014,4,1803,2 ambientes,Usado,7
FLORES,2015,1,1853,2 ambientes,Usado,7
FLORES,2015,2,1892,2 ambientes,Usado,7
FLORES,2015,3,1906,2 ambientes,Usado,7
FLORES,2015,4,1914,2 ambientes,Usado,7
FLORES,2016,1,1960,2 ambientes,Usado,7
FLORES,2016,2,1936,2 ambientes,Usado,7
FLORES,2016,3,1981,2 ambientes,Usado,7
FLORES,2016,4,2018,2 ambientes,Usado,7
FLORES,2017,1,2083,2 ambientes,Usado,7
FLORES,2017,2,2096,2 ambientes,Usado,7
FLORES,2017,3,2052,2 ambientes,Usado,7
FLORES,2017,4,2188,2 ambientes,Usado,7
FLORES,2018,1,2314,2 ambientes,Usado,7
FLORES,2018,2,2356,2 ambientes,Usado,7
FLORES,2018,3,2366,2 ambientes,Usado,7
FLORES,2018,4,2434,2 ambientes,Usado,7
FLORES,2019,1,2402,2 ambientes,Usado,7
FLORES,2019,2,2427,2 ambientes,Usado,7
FLORESTA,2010,1,,2 ambientes,Usado,10
FLORESTA,2010,2,,2 ambientes,Usado,10
FLORESTA,2010,3,1282,2 ambientes,Usado,10
FLORESTA,2010,4,1435,2 ambientes,Usado,10
FLORESTA,2011,1,1415,2 ambientes,Usado,10
FLORESTA,2011,2,1399,2 ambientes,Usado,10
FLORESTA,2011,3,1575,2 ambientes,Usado,10
